time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-11-20T20:19:06.993Z,37.0561,141.2274,49.603,4.5,mb,51,89,2.476,0.93,us,us7000ir7f,2023-01-30T06:00:28.040Z,"30 km E of Iwaki, Japan",earthquake,7.62,6.434,0.086,40,reviewed,us,us
2022-11-20T12:16:20.817Z,32.3621,142.4036,10,4.5,mb,53,101,2.308,0.34,us,us7000is4w,2023-01-30T06:00:24.040Z,"",earthquake,8.48,1.879,0.098,31,reviewed,us,us
2022-11-17T17:35:19.593Z,38.1835,141.8036,56.678,4.6,mb,88,112,2.665,0.68,us,us7000iqie,2023-01-28T19:58:23.040Z,"",earthquake,7.52,5.409,0.059,85,reviewed,us,us
2022-11-17T12:43:29.701Z,35.6079,140.1519,64.858,4.5,mb,63,124,1.829,0.71,us,us7000iqed,2023-01-28T19:58:21.040Z,"3 km ENE of Chiba, Japan",earthquake,6.55,5.909,0.058,88,reviewed,us,us
2022-11-17T00:28:20.703Z,40.7826,142.3468,66.476,4.9,mww,235,80,0.974,0.63,us,us7000iq9c,2023-01-28T19:58:20.040Z,"78 km ENE of Hachinohe, Japan",earthquake,6.32,2.474,0.098,10,reviewed,us,us
2022-11-14T13:27:58.983Z,37.4099,137.2938,12.694,4.6,mb,70,88,1.129,0.53,us,us7000iplv,2023-01-28T19:58:14.040Z,"49 km NE of Nanao, Japan",earthquake,6.23,4.04,0.07,63,reviewed,us,us
2022-11-14T08:08:26.124Z,33.8139,137.3055,346,6.1,mww,274,28,1.127,0.63,us,us7000ipkm,2023-01-28T19:58:14.040Z,"85 km SSE of Toba, Japan",earthquake,7.92,1.907,0.042,54,reviewed,us,us
2022-11-09T08:40:11.927Z,36.1855,140.0343,56.302,4.8,mww,112,55,1.516,0.91,us,us7000ingc,2023-01-21T19:27:16.040Z,"6 km WSW of Tsukuba, Japan",earthquake,2.56,4.605,0.098,10,reviewed,us,us
2022-11-09T03:37:25.258Z,31.6492,131.827,35,4.5,mb,60,88,1.181,0.71,us,us7000inf2,2023-01-21T19:27:15.040Z,"Kyushu, Japan",earthquake,6.05,1.901,0.106,26,reviewed,us,us
2022-11-08T20:56:42.386Z,32.3934,142.3786,10,4.6,mb,74,101,2.278,0.45,us,us7000ind1,2023-01-21T19:27:15.040Z,"",earthquake,9.09,1.859,0.086,47,reviewed,us,us
2022-11-03T11:16:57.209Z,35.5846,140.2147,66.633,4.8,mb,68,108,1.885,0.7,us,us7000im5q,2023-01-12T23:11:10.040Z,"8 km SSE of Yotsukaid?, Japan",earthquake,6.48,5.936,0.072,59,reviewed,us,us
2022-11-03T10:04:33.746Z,35.5684,140.1422,73.534,4.9,mww,103,91,0.295,0.86,us,us7000im5c,2023-01-12T23:11:09.040Z,"4 km SSE of Chiba, Japan",earthquake,6.01,4.027,0.08,15,reviewed,us,us
2022-11-01T23:45:54.466Z,41.9614,144.9414,14.274,5.1,mb,114,134,1.331,0.57,us,us7000ilua,2023-01-12T23:10:58.040Z,"121 km SSE of Kushiro, Japan",earthquake,7.93,4.254,0.042,180,reviewed,us,us
2022-10-29T19:46:56.307Z,32.3746,142.5989,10,4.8,mb,91,103,2.46,0.54,us,us7000il7l,2023-01-12T23:10:32.040Z,"Izu Islands, Japan region",earthquake,8.54,1.817,0.073,59,reviewed,us,us
2022-10-29T19:46:34.988Z,32.1962,142.7233,10,4.5,mb,38,130,2.62,0.62,us,us7000il81,2023-01-12T23:10:33.040Z,"Izu Islands, Japan region",earthquake,5.36,1.883,0.14,15,reviewed,us,us
2022-10-28T20:56:27.188Z,37.3501,141.86,47.949,4.7,mb,85,120,3.034,0.68,us,us7000il1t,2023-01-03T15:23:48.040Z,"77 km ESE of Namie, Japan",earthquake,3.05,6.359,0.079,57,reviewed,us,us
2022-10-27T14:36:28.676Z,32.2923,142.9069,15.463,4.5,mb,26,188,2.734,0.38,us,us7000ikpx,2023-01-03T15:23:42.040Z,"Izu Islands, Japan region",earthquake,10.71,6.243,0.156,12,reviewed,us,us
2022-10-27T13:25:05.027Z,41.9079,144.7601,30.253,5,mb,45,136,1.2,0.5,us,us7000ikpr,2023-01-03T15:23:42.040Z,"122 km SSE of Kushiro, Japan",earthquake,8.58,3.54,0.068,70,reviewed,us,us
2022-10-27T05:28:59.142Z,33.456,141.2416,38.02,4.5,mb,17,139,1.243,0.22,us,us7000ilqr,2023-01-03T15:23:49.040Z,"205 km SSE of Katsuura, Japan",earthquake,4.14,8.014,0.204,7,reviewed,us,us
2022-10-27T04:20:06.780Z,32.1925,142.5361,10,5,mb,18,95,2.499,0.68,us,us7000ilqx,2023-01-03T15:23:49.040Z,"",earthquake,6.11,1.938,0.188,9,reviewed,us,us
2022-10-26T07:06:01.197Z,41.9665,144.7814,22.883,5.3,mww,107,84,1.212,0.69,us,us7000ikfi,2023-01-03T15:23:40.040Z,"116 km SSE of Kushiro, Japan",earthquake,7.48,3.65,0.071,19,reviewed,us,us
2022-10-26T07:05:07.639Z,42.0197,144.8843,10,4.6,mb,43,121,1.287,0.43,us,us7000ikfl,2023-01-03T15:23:40.040Z,"114 km SSE of Kushiro, Japan",earthquake,8.22,1.877,0.146,18,reviewed,us,us
